,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport
10,C Waleed,Lebanon,2023-10-30,1,"Horrible experience ending in a canceled flight. We boarded on time at 3.30pm for a 4.05pm departure from BEY to CDG, and shortly after pushing back we were informed of a technical problem. We returned to the gate and were told one hour later that it was fixed. However shortly after pushing back again, the pilot announced the problem was still not fixed and that the plane's radar was out of order. We were then offered to fly to Athens as the weather there was good and ""didn't require a radar"". Another AF flight would then take us to Paris. However half the passengers decided to leave the plane. I decided to stay but after more than 5 hours, we were still stuck in the plane with no food or drink served. Then the pilot said the flight was canceled because the weather had changed! A hostess started shouting at us with conflicting instructions about disembarking and then returning to our seats - a complete chaos with children crying. After disembarking it was a total mess a no one knew on which flight they would be rebooked. We ended being sent to a cheap hotel at midnight. It was impossible to get any help from AF's call center as it is based in North Africa and their totally useless staff were not even able to provide accurate information (they said there was no flight before 2 days later while I managed to get a booking the next day by talking directly to the airport staff). Adding insult to the injury, my online complaint got me nothing more than a simple apology.",A350,Solo Leisure,Economy Class,Beirut to Paris,October 2023,2.0,1.0,,,1.0,,1,no,True,Beirut,Paris,
11,Y Balsten,France,2023-10-30,3,"The flight was on time and the Premium Economy seats are comfortable, and that is about it. Only one hot meal was served after take off (despite the 14-hour flight duration due to Russian airspace restrictions). A small bag with candies and fruit juice was served before landing, unlike some full service carriers who serve two full hot meals on such long flights. No power socket, only USB plugs - quite unacceptable for Premium Economy. No wifi. The crew did the bare minimum, they served the meal then disappeared for 11+ hours before serving the arrival refreshment. The IFE is ok. Air France packages itself as a luxury airline but in reality it is well below the competition.",Boeing 777,Business,Premium Economy,Shanghai to Paris,October 2023,4.0,2.0,1.0,3.0,2.0,,2,no,True,Shanghai,Paris,
12,Jason Boyd,Spain,2023-10-26,3,"I was flying from Mumbai to London with a layover in Paris. First of all, they let us know that the flight from Paris to London was cancelled. Then, they decided to rebook our entire journey but instead of leaving at 2am, they wanted us to leave at 10am and stay in the airport uncompensated. In fact, we couldn't even speak to anyone about this. They provided us with a customer service number, but it had been closed for 2 hours. After scrambling around the airport for hours, we found someone to speak to who managed to get us on the original flight and a new flight leaving from Paris, with a delay of 2 hours. However, due to the change they moved our seats and due to this move, our vegan meals were also unavailable. Finally when we arrived to London, after waiting an hour for our suitcase we have been notified that it was lost. All the while without being able to speak to anyone on customer service.",,Couple Leisure,Economy Class,Mumbai to London via Paris,October 2023,1.0,1.0,1.0,3.0,1.0,3.0,1,no,True,Mumbai,London,Paris
13,Peter Norris,Australia,2023-10-19,5,"I booked this flight in November 2022 as part of a round world trip, as in my 70's I like a little comfort, I also booked an isle seat. Upon checking in at CDG , I was told I was on standby having paid 8 months before. It was an anxious 2 hour wait, I did get my premium economy seat, but not an aisle as requested and paid for, no fun on a 10 hour flight in a middle seat. ",Boeing 777-300,Solo Leisure,Premium Economy,Paris to Johannesburg,July 2023,1.0,4.0,3.0,5.0,4.0,,4,no,True,Paris,Johannesburg,
14,J Borgen,United States,2023-10-14,3,"Strike among air controllers in Paris caused particular problems due to delays. Sitting in an Air France plane waiting during delayed boarding is torture given the NOISE that is played. Made by a 12 year old who knows three chords and got his hands on a synthesizer? Awful. Same mind numbing noise if you call AF. Flying in “comfort” Premium Economy for $3,660 RT is horrendously overpriced given the food and lack of attention. This was a fairly common Business Class fare. Except for a seat that is less uncomfortable than in economy and a pouch with a toothbrush etc., there is nothing to justify the price difference. Dinners were served, both ways, with a main dish in a rectangular box hidden in mashed potatoes. Return flight I chose duck. Sounds nice, right? More like pre- chewed something mixed with, or hidden underneath, mashed potatoes. On neither flight (to and from Paris) did anybody stop to ask if I would like another wine or more water. No drinks before dinner. Nothing to differentiate this “Premium class” from economy. Stewards steamed backwards with cart returning from economy without so much as looking sideways to quickly reach the sanctity of the galley between business class and the Premium Economy. You will not get any kind of service or attention that differentiates you from those in economy seats. It may be Air France’s intention that there should be a difference, but I have on my three flights with AF this year seen none of it! None. While there are three or four bathrooms provided for business class in front of you, you will in the Premium section have longest walk to a bathroom of any passenger onboard. True! As I saw that many passengers (especially couples) are in their 60s and 70s this is another reason this Premium section does not warrant its price. The walk back through the economy section in the dark with pillows, blankets, and feet in the way is no fun. In reaching the very back of the plane there were three thin brown sandwiches in a large box waiting, together with a few chewable candies also in a large box and two stewardesses far less interested in engaging with a passenger than in talking among themselves. And it is especially here that KLM has a leg up on Air France. More often, but not always, do KLM personnel seem more friendly and engaging. With reference to my observations in the above, try KLM premium and compare for yourself. The Air France lounge is nice, but if given the opportunity, check out KLM’s main lounge in Amsterdam. Also very nice. Conclusion, suffer economy for 8.5 to 10.5 hours and treat yourself (with the significant amount of money not wasted) to a nicer hotel and great and expensive meal upon arrival! And, on this particular flight, you will guaranteed be closer to bathroom if you book an economy seat! I personally prefer KLM, but when I need a flight on short notice it is usually AF that have tickets. For me, a Delta flight involves a stopover in the US, and is typically more expensive to boot.",Airbus,Business,Premium Economy,Oslo to Houston via Paris,October 2023,2.0,2.0,2.0,4.0,2.0,,1,no,False,Oslo,Houston,Paris
15,Sam Eden,United States,2023-10-09,2,"The flight experience was nice, the bag service a disaster. We were flying (Friday 6 Oct 2023) business class from Bologna to Paris and to Denver. We checked in two roll-on size bags to make things easier on us. But, the bags stayed in Paris. The next day, one was sent to LAX. A day later, the other bag flew to LAX. Then both bags flew to Denver on different flights. Now the bags have been sitting at DEN waiting for someone to pick them up and send them to us. I have called AF numberous times. I've emailed screenshots of my bag locations many times in the last two days, from my AirTags, but noting seems to happen. The customer service line just says they're sending a message to their airport office as to where the bags are and marked urgent to get our bags to our temporary location. I tried to get a supervisors contact. I tried to find a phone number at the DEN AF office to call them directly. I even called the airport directly. All I get is two options. Somehow get to the airport to pick up my bags which is not an option or wait for a reply from AF. The processes and customer service seem to be lacking.  I will need to have the bags rerouted to Scottsdale Arizona since we're leaving Colorado tomorrow morning. ",,Couple Leisure,Business Class,Bologna to Denver via Paris,October 2023,3.0,4.0,4.0,3.0,1.0,2.0,2,no,False,Bologna,Denver,Paris
16,Deborah Sulla,United States,2023-10-07,1,"We were traveling Atlanta to Paris. We booked our seats (two aisles across from each other, main cabin) months ahead of time. When we arrived at the airport, Air France ticketed us into the last cabin, two middle seats across the plane from each other, ten rows apart. When I pointed this out, they said they changed planes (same configuration) and our seats were gone, the flight was oversold and we could go tomorrow if we didn't like it. So, very unhappy, but we boarded. Then we sat and sat on a hot plane for 1-1/2 hours before we departed. Very thirsty and hot, we were offered a beverage 4 hours after boarding. My food stunk too, but the wine was good.",,Couple Leisure,Economy Class,Atlanta to Paris,September 2023,2.0,2.0,2.0,3.0,1.0,,1,no,False,Atlanta,Paris,
17,M Lausin,Switzerland,2023-10-04,3,"Flight to CDG was ok. Had bought a upgrade to business class during check in which included access to the lounge. Things got suspicious when the receptionist in CDG couldn't find my booking. He allowed me to enter the lounge regardless, where I spent the five hour layover. Upon boarding, I was told that the flight was overbooked and I was downgraded to economy. Got a an aisle seat when I had paid for a window seat when booking. While Air France downgraded me, they don't refund automatically. I have to apply for it and the money has yet to arrive. Food was edible at best. Cabin was very dated, duct tape was visible on seats. TV screen on the bulkhead seat couldn't be kept in place on the 14h flight, rendering it useless. The ticket in economy costed 1800 Euro and I'll spend this money with a decent airline next time.",Boeing 777,Solo Leisure,Economy Class,Zurich to Tokyo via Paris,September 2023,1.0,2.0,2.0,1.0,4.0,2.0,1,no,True,Zurich,Tokyo,Paris
18,R Habasi,Morocco,2023-10-02,1,"Disappointing Business Class Experience on Air France. My wife and I recently flew with Air France in business class from Rabat to Manchester, with a connecting flight in Paris. Overall, it was a very disappointing experience that did not meet our expectations. On September 28, we boarded our flight from Rabat to Paris. The business class seats were barely an upgrade from economy, with limited recline and lacking amenities. The meal service was lacking - a small cold pasta salad and no appetizer or dessert. Upon arriving at CDG, there was no priority boarding or fast track security for business class passengers. We waited in a long queue for 35 minutes to board our connecting flight to Manchester. Again, the business class meal was mediocre - a small cold sandwich. On our return journey on October 1, we decided to fly economy class. Our flight from Manchester departed 15 minutes late. We were anxious about missing our connection in Paris due to the delay. The food was disappointing. Our flight landed in Paris 25 minutes late, giving us under 40 minutes to catch our connection to Rabat. We rushed through the airport and reached the gate just in time. However, upon landing in Rabat, we were informed that our checked luggage had been left behind in Paris. We had to return to the airport at 11:30pm when Air France sent the bags on a later flight. Overall, Air France's subpar seats, lack of amenities, mediocre food, and mismanaged baggage handling made this a terrible experience.  I would not recommend flying Air France, especially in business class, based on this disappointing trip.",A319 / A320,Family Leisure,Business Class,Rabat to Paris via Manchester,September 2023,1.0,1.0,1.0,,1.0,,1,no,True,Rabat,Paris,Manchester
19,M Cooper,United Kingdom,2023-09-25,1,"We had to attend a family wedding in Kinshasa and travelled as a family group. The flight was delayed and we were stuck on the tarmac for 3 hours with no adequate food or drinks. Truly awful experience. Then they lost our bags containing clothes and gifts for the wedding. The bags arrived 3 days late damaged. They have not compensated us for the damage! They had a major server breakdown and communication via the website was impossible. We were told they lost 15,000 bags that day. The office in Kinshasa could not access any systems to register our loss but told us they would register on our behalf. Then once the process began back in the UK they would not process our claim without our bank details and then transferred a minimal amount without our consent. They said that when we gave our bank details we accepted their offer. Untrue! It has been a nightmare! We have tried to be reasonable but have been met with complete indifference. Worst travel experience in over 40 years of flying!",Boeing 777-200,Family Leisure,Economy Class,London to Kinshasa via Paris,June 2023,1.0,2.0,1.0,1.0,1.0,1.0,1,no,True,London,Kinshasa,Paris
20,Anders Pedersen,Denmark,2023-09-22,7,"Copenhagen-Paris-Zurich-Paris on 17-18 Sep 23 deploying A220-300 and A320 aircrafts. Had to position myself in Zurich to catch my Kenya Airways (AF-codeshare) from there to Nairobi and Jo-burg. Tricky to check-in the luggage from CPH for the entire trip but by jumping the Zurich part, the luggage could be tagged simpler and eventually made it the whole way (5 legs) to Jo-burg. While Zurich became just a turnaround point with the same aircraft the return leg, however, was in business class: a clear step beyond economy, though identical, modest seats. The check-in in CPH went well but the handling agent deployed by Air France were rigid and uninterested and refused to transfer my luggage beyond the first 2 legs which caused me immense trouble and rebooking in ZRH as I could not catch my onward flight. The timeslot became too narrow to retrieve and recheck in luggage which I already informed of in CPH, but in vain: “we don’t do transfer on different tickets” despite being the same airline and even on the same (returning) aircraft. Lounges provided as elite traveller were fine in all three airports. Onboard, crew were courteous and effective. The A220 is a blessing, likely the best narrow body aircraft I have flown. All flights were clean, punctual or early. Service on board very modest, but a few drinks, hot drinks, and snack provided. Huge adavantage being elite FFP-traveller these days accessing their newer lounges and getting other perks.","A220-300, A320",Solo Leisure,Economy Class,Copenhagen to Zurich via Paris,September 2023,3.0,3.0,3.0,,3.0,3.0,4,yes,True,Copenhagen,Zurich,Paris
21,H Martin,United Kingdom,2023-09-21,1,"The quality of Air France is disgraceful to the point I won't fly any sky alliance flights again. We were flying back to Johannesburg for our wedding and so wanted the experience to be slightly more special. Paid for an upgrade to business class at the airport for Paris to JHB. Firstly, we received better drinks service in economy coming back than going out in business class. After our boarding drink was poured and we were in the air I asked if I could get a drink, twice, to once be told they would be with me soon, and when we were still ignored my partner then asked for a whiskey and he was told you can wait till after dinner. I understand that if you have been drinking prior to your flight and appear intoxicated, then you are not going to be served. However, we had just gotten off of our flight from Edinburgh to Paris which we had not drunk on. This flight was delayed. We were unable to make use of any of the time in the airport lounge which had been included in our flight upgrade, so hadn't had anything to drink during our time through CDG either.  Also, this doesn't even include WiFi. Secondly, at check in we were unable to upgrade on our return as the flight was full. When I discussed the delay on our last flight and our missed opportunity to utilise the lounge included with our previous upgrade she shrugged and said she didn't know and I should ask someone else. The food was bad with no in flight options provided. Only veggie, with both main and side vegetables overcooked. There is zero quality for the economy class customer experience which is ironic considering they were the most expensive of the three airline options between us and our guests who either flew British Airways or Qatar. We paid (not including our upgrade) £650 per adult return in comparison to £600 for BA and £500 for Qatar (all EDI to JHB). And again, despite being the most expensive, this included no checked baggage. Finally, my decision to never fly Sky Team again was cemented when I realised that I had not packed my toothpaste into my hand luggage on the economy fight back, so asked a stewardess if I could please have some to brush my teeth. Initially she told me they don't carry any toothpaste on board. When I didn't walk away she finally agreed that yes they do have toothpaste on board in the Business class flight bags but these are only for business class. ",,Couple Leisure,Economy Class,Johannesburg to Edinburgh via Paris,September 2023,3.0,1.0,1.0,3.0,2.0,1.0,1,no,True,Johannesburg,Edinburgh,Paris
22,Anders Pedersen,Denmark,2023-09-18,7,"Copenhagen-Paris-Zurich-Paris on 17-18 Sep 23 on A220-300 and A320 aircrafts. Had to position myself in Zurich to catch my Kenya Airways (AF-codeshare) from there to Nairobi and Jo-burg. Tricky to check-in the luggage from CPH for the entire trip but by jumping the Zurich part, the luggage could be tagged simpler and eventually made it the whole way (5 legs) to Jo-burg. While Zurich became just a turnaround point with the same aircraft the return leg, however, was in business class: a clear step beyond economy, though identical, modest seats. The check-in in CPH went well but the handling agent refused to transfer my luggage beyond the first 2 legs which caused me immense trouble and rebooking in ZRH as I could not catch my onward flight. The time slot became too narrow to retrieve and recheck in luggage which I already informed of in CPH, but in vain: “we don’t do transfer on different tickets” despite being the same airline and even on the same (returning) aircraft. Lounges provided as elite traveller were fine in all three airports. Onboard, crew were courteous and effective. The A220 is a blessing, likely the best narrowbody aircraft I have flown. All flights were clean, punctual or early. Service on board very modest, but a few drinks, hot drinks, and snack provided. Huge advantage being elite FFP-traveller these days accessing their newer lounges and getting other perks.",A220-300 /A320,Solo Leisure,Economy Class,Copenhagen to Zurich via Paris,September 2023,3.0,4.0,2.0,,2.0,4.0,4,yes,True,Copenhagen,Zurich,Paris
23,Z Khizer ,Canada,2023-09-18,9,"Both flights were on-time. DXB-CDG, plane was packed. Snack box was served right after take-off. An hour before landing, hot breakfast was served with tea and coffee and plenty of drinks run. CDG-YUL, gate and terminal was changed 2 hours before flight time, so I had to run from one end of the airport to another. AF customer service person told me its not an airline's decision when it comes to gates or terminal, airport management make a decision given the circumstances. Montreal flight was full and so much hand luggage passengers had that they had to move econ hand luggage to the business class section. Crew was kind enough to find me a place at the very end of the aircraft even though I was sitting in the front. Lunch was served then the snacks just before landing. At the back galley, plenty of snacks and drinks were available and few passengers decided to hang out there until landing so that was fun, get to know a few fellow passengers. AF really knows how to keep you busy with food, ample amount of meal portions and snack boxes are literally a full meal size as well.",,Solo Leisure,Economy Class,Dubai to Montreal via Paris CDG,September 2023,5.0,5.0,5.0,3.0,5.0,5.0,5,yes,True,Dubai,Montreal,Paris CDG
24,S Keale,Australia,2023-09-17,1,"Paid high price for ticket to get best connection. Delayed in Paris, very poor communications and moved gates multiple times. Delayed 2 hrs and not even a drink of water.  First time on Air France and wouldn’t bother again. Seems disorganised in their processes eg chaotic boarding. ",A321,Business,Economy Class,Paris to Amsterdam,September 2023,3.0,2.0,1.0,,1.0,,1,no,True,Paris,Amsterdam,
25,Vasco Lopes,United Kingdom,2023-09-15,4,"14 hours flight with no food or water during 11 hours! We were served a meal 30min into the flight and then left starving and thirsty for another 11 hours, there was another light meal just before we landed but, in between meals not only once the trolley passed by offering water, coffee or a simple cake. I was shocked! I had travelled previously from Paris to Bangkok through Thai Airlines and had a completely different experience. We had 2 meals and other 2 or 3 snacks in a shorter flight. Ground work wasn't better. Having taken about 1 hour to drop a bag already checked in through the self check in machine.",,Couple Leisure,Economy Class,Haneda to Paris via Edinburgh,September 2023,3.0,2.0,1.0,4.0,2.0,,3,no,True,Haneda,Paris,Edinburgh
26,Michael Laughlin,United States,2023-09-14,1,"Other than the temperature on our flight, the flight itself was okay. My baggage has been lost for a month and Air France knows nothing. Frankly, they aren't even trying. It is always someone else's fault or they will call me back or some other excuse. Any time I call, you would think its the first they have heard of the issue. I understand that this is more important to me than it is to Air France, but at some point you would think they would try. I have very little hope I will ever see my belongings again or any compensation. No answers, no possible solutions.",,Solo Leisure,Economy Class,Raleigh Durham to Nairobi via Paris,August 2023,1.0,4.0,3.0,3.0,1.0,,1,no,True,Raleigh Durham,Nairobi,Paris
27,Kevin Tunnicliffe,United Kingdom,2023-09-11,9,"I am pleased to say that for the first time, I am able to offer a positive review for Air France. On our flight out we were crammed into an Embraer 190, but the service was excellent and the in-flight meal had a choice of two options. On this return leg, there was a great deal more space because the seating was three by three and the middle seat was left empty. This is the way in short-haul European Business Class. The seats are the same as economy with the middle seat vacant. On both legs the cabin crew were excellent and the food was tasty and well presented. No problems with the airline, the airport, as usual, was utter madness. But that is another story.",A221,Couple Leisure,Business Class,Paris to Manchester,August 2023,2.0,5.0,4.0,,2.0,,4,yes,True,Paris,Manchester,
28,Urian Reite,Netherlands,2023-09-11,1,First of all boarding was chaotic. The stewards speak Spanish poorly and English even worse. So you are forced more or less to give your best french. They give during the 10 hours 40 minutes flight less than a liter of water or any other kind of fluid and when you ask they give you paper mini cups of water. And you almost have to beg them. They only give two times something to eat. They last food round what's less than an hour and a half before landing of the flight so you have no time to eat properly because they barely give you your food and they already come to pick it up. They advertise to have Wifi on board but once on board sorry but no Wifi.,A350,Solo Leisure,Economy Class,París CDG to Bogotá,September 2023,2.0,1.0,1.0,,2.0,1.0,1,no,True,París CDG,Bogotá,
29,S Haphitou,Cyprus,2023-09-04,2,Horrible customer support and ground service. We had two delays that cost us an extra ticket and a stayover at the airport since we missed our connection. My friend received a compensation but my claims have been closed. No email provided to contact and no new claim can be made from the site since it refers to the first one (even though it's been closed). No response over the phone. I would definitely not book with them again.,,Solo Leisure,Economy Class,New York to Athens via Paris,August 2023,3.0,4.0,2.0,2.0,1.0,,2,no,True,New York,Athens,Paris
30,M Albanes,Mexico,2023-09-04,9,"I didn’t know what to expect of Air France, but they really exceeded my expectations in this flight. The Premium Economy cabin on the 787 has very confortable seats. The IFE has plenty of choices, and the free wifi worked suprisingly good. Food was good, (though I still find out KLM or TK catering slightly better on Economy). However, what I liked the most was the onboard staff. They were outstanding, very friendly and helpful. The only downturn on this flight was that my luggage was delayed, being a tight conection time a factor for this incidence. After 5 days it could be sent to Querétaro Airport. While they handled the issue professionally, I have seen in other reviews this is a common issue in AF, so I would only use this airline again for direct flights, or flights with more than 3 hours of connecting time.",Boeing 787-9,Couple Leisure,Economy Class,Rome to Mexico City via Paris CDG,August 2023,5.0,5.0,5.0,5.0,4.0,5.0,5,yes,True,Rome,Mexico City,Paris CDG
31,B Wuensch,United States,2023-09-02,2,Plane had over 2.5 delay. They let everyone on the plane and after one hour waiting the captain decided to give an update that they had technical issues. Throughout the 2.5 hours + the captain gave two updates (one more after the one one hour into that technical issue). Both updates were in French and English were of the English was hardly understandable. Crew had no idea what was going on. ,Boing 777-300ER,Business,Business Class,Los Angeles to Paris,September 2023,3.0,2.0,,,1.0,,1,no,True,Los Angeles,Paris,
32,Naima Bentaleb,Canada,2023-08-30,3,"A team that is not at all professional. They wanted to put my 3 year old twin girls away from me which was very weird. And for the long trip, I didn't find a place to put my hand luggage and when I asked, the stewards were rude, he shouted at me and the supervisor had no solution. She said it's my responsibility to find a place and it's up to me to manage....what an answer!  Une equipe qui n'est pas du tout professionnel. Ils voulaient mettre mes jumelles âgées de 3 ans loin de moi, ce qui était très bizarre. Et pour le long voyage, je n'ai pas trouvé un endroit pour mettre mon bagage à main et quand j'ai réclamer le stewards était rude, il m'a crier et la superviseur n'avait pas de solution. Elle disait que c'est ma responsabilité de trouver un endroit et que c'est à moi de me débrouiller....quelle réponse !!!",,Family Leisure,Economy Class,,August 2023,4.0,1.0,3.0,3.0,2.0,3.0,1,no,False,,,
33,Khizer Zaheer,Canada,2023-08-30,10,"Boarding on time. Warm welcome onboard. Plane was spotless. Air France, as usual, middle seat was empty so plenty of room in economy. Lunch was served promptly after the aircraft reached the cruising altitude. Cabin crew was very apologetic for not having a second meal option available by the time they reached my row. Food quantity and quality was superb; butter, cheese, French dessert. It would be nice if the bread roll was warmed up a bit before serving. IFE is ok, need a bit more diversity when it comes to TV/Films, though music collection was plenty. Lights were off after lunch, many passengers took an opportunity to sleep. Washrooms were kept spotless throughout the flight and back galley was well-equipped with little snacks and candies and drinks. An hour before the landing, snack box were distributed consisted of hummus sandwich, yogurt drink, muffin and coffee/tea. What makes AF the best is their crew, perfectly bilingual, smiley and warm, neat and tidy, problem solvers rather than ignorers.",Boeing 777,Solo Leisure,Economy Class,Paris to Dubai,August 2023,5.0,5.0,5.0,3.0,5.0,,5,yes,True,Paris,Dubai,
